wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
10,Fri,2019-10-25,20:00 (14:00),A,Southampton,Leicester City,28762,St. Mary's Stadium,Andre Marriner,Match Report,2019,0.25,1,1,1,3.1,3.4,2.3,3.25,3.4,2.3,3.15,3.3,2.3,3.25,3.34,2.38,3.2,3.3,2.3,3.2,3.3,2.38,3.3,3.5,2.45,3.2,3.34,2.36,1,0.30397022332506207,0.2866004962779157,0.40942928039702225,1,0.0031017369727046606,0.19555990495740172
10,Sun,2019-10-27,12:00 (06:00),A,Celta Vigo,Real Sociedad,18002,Estadio de Balaídos,Valentín Pizarro,Match Report,2019,1.75,0.75,1.5,1.5,3,3.25,2.45,2.8,3.4,2.5,2.85,3.3,2.5,2.9,3.28,2.63,2.8,3.25,2.6,2.8,3.3,2.5,3,3.4,2.7,2.84,3.29,2.54,1,0.33406113537117904,0.29475982532751094,0.37117903930131,1,0.0021834061135370675,0.1977433110709388
10,Sun,2019-10-27,18:30 (12:30),H,Sevilla,Getafe,38181,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,2019,1.75,1.25,1.25,1.5,1.72,3.3,6,1.72,3.5,5.5,1.73,3.6,5.1,1.7,3.8,5.55,1.7,3.7,5.25,1.7,3.6,5.2,1.78,3.8,6,1.73,3.62,5.22,1,0.566544081105258,0.2653811748335156,0.1680747440612265,1,0.008448464367359243,0.20619177543829803
11,Tue,2019-10-29,21:15 (15:15),H,Barcelona,Valladolid,59896,Camp Nou,Alberola Rojas,Match Report,2019,3,4,1,0.75,1.12,9.5,17,1.13,9.5,17.5,1.15,8,18,1.13,9.42,19.86,1.14,8.5,19,1.13,9.5,18,1.17,10,23,1.13,9.03,19.44,1,0.8562600052120174,0.10018242060980603,0.04355757417817654,0.9999999999999999,0.0018242060980602215,0.20801598153635825
10,Fri,2019-11-01,20:30 (14:30),H,Hoffenheim,Paderborn 07,23629,PreZero Arena,Robert Schröder,Match Report,2019,1.5,1.25,0.25,1,1.4,4.75,7,1.45,4.75,6.5,1.45,4.75,6.5,1.45,5.16,6.54,1.42,5,7,1.44,5,6.5,1.5,5.25,7.15,1.44,4.94,6.59,1,0.6686706746826988,0.19104876419505679,0.1402805611222445,1,0.0030060120240482657,0.21102199356040652
10,Sat,2019-11-02,15:30 (09:30),D,Werder Bremen,Freiburg,41000,Weserstadion,Christian Dingert,Match Report,2019,1,1.25,2.25,2,1.85,3.8,3.8,1.95,3.7,3.7,2.1,3.5,3.4,1.95,3.87,3.89,1.95,3.7,3.8,1.95,3.8,3.7,2.1,3.9,3.98,1.95,3.73,3.74,1,0.4840037418147801,0.2606173994387278,0.2553788587464921,1,0.016407857811038484,0.227429851371445
12,Sat,2019-11-02,20:00 (14:00),A,Toulouse,Lyon,16225,Stadium Municipal,Karim Abed,Match Report,2019,1.5,1.25,0.5,1,5,3.6,1.75,4.5,3.75,1.78,4.35,3.85,1.77,4.5,3.81,1.83,4.33,3.75,1.78,4.4,3.8,1.75,5,3.92,1.84,4.42,3.77,1.79,1,0.2002843433445886,0.255464723653812,0.5442509330015994,1,0.0014217167229431116,0.2288515680943881
12,Sat,2019-11-09,17:30 (11:30),H,Leicester City,Arsenal,32209,King Power Stadium,Chris Kavanagh,Match Report,2019,3,3,0.5,1,2,3.75,3.5,2,3.8,3.5,1.97,3.75,3.6,1.98,3.91,3.79,1.95,3.7,3.7,1.95,3.8,3.7,2.08,3.98,3.8,1.99,3.78,3.62,1,0.48309610814402165,0.25247233792451385,0.2644315539314645,1,0.004839904939565098,0.2336914730339532
12,Sun,2019-11-10,12:30 (05:30),H,Cagliari,Fiorentina,16316,Sardegna Arena,Federico La Penna,Match Report,2019,2.5,2.25,2,1.75,2.9,3.4,2.37,2.9,3.4,2.45,2.85,3.3,2.5,2.88,3.34,2.61,2.8,3.3,2.5,2.88,3.1,2.5,3.15,3.47,2.61,2.86,3.32,2.5,1,0.3210605238809303,0.29145263695242957,0.3874868391666401,1,0.01134065022493047,0.24503212325888368
12,Sun,2019-11-10,15:00 (08:00),H,Lazio,Lecce,35000,Stadio Olimpico,Gianluca Manganiello,Match Report,2019,2.5,3.25,1.25,1.75,1.25,6.5,11,1.22,6.75,11.5,1.25,6.4,10.5,1.26,6.36,11.8,1.24,6,11,1.2,6.5,12,1.3,7,13,1.24,6.45,11.03,1,0.7777777777777777,0.14444444444444446,0.07777777777777778,1,0.011111111111111072,0.25614323436999475
12,Sun,2019-11-10,18:00 (11:00),H,Parma,Roma,18532,Stadio Ennio Tardini,Michael Fabbri,Match Report,2019,2.25,2.25,2.5,1.75,4,3.6,1.9,4,3.7,1.9,3.9,3.75,1.9,4.17,3.94,1.87,3.9,3.75,1.85,4.1,3.5,1.85,4.3,3.94,1.97,3.97,3.72,1.89,1,0.2339667458432304,0.25534441805225655,0.5106888361045131,1,0.006057007125890745,0.2622002414958855
13,Sat,2019-11-30,18:30 (11:30),A,Bayern Munich,Leverkusen,75000,Allianz Arena,Guido Winkmann,Match Report,2019,2.25,2.75,1.5,1.25,1.28,6,8.5,1.3,5.75,9,1.3,6,8.7,1.29,6,9.85,1.27,6,10,1.3,6,9.5,1.32,6.63,11,1.29,6.04,9.37,1,0.7580954994511525,0.1509330406147091,0.09097145993413833,1,6.860592755215666e-4,0.26288630077140707
14,Sat,2019-11-30,15:00 (08:00),A,Brescia,Atalanta,14000,Stadio Mario Rigamonti,Daniele Doveri,Match Report,2019,0.25,0.5,1.5,2.25,6.5,4.5,1.5,6.5,4.75,1.45,6.5,4.3,1.5,6.6,4.83,1.48,7,4.6,1.42,7.5,4.6,1.44,7.5,4.9,1.55,6.47,4.66,1.47,1,0.13569769519385386,0.20770055386814365,0.6566017509380025,1,0.017732713953904078,0.28061901472531114
